text_value,float_value,update_time,create_time,long_value,key,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,height_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000009,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,weight_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000007,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_pressure_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000013,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,water_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000014,
,2022-09-17 17:19:15.807,2022-09-17 17:19:15.822,,name,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000004,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,distance_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000c,
,2022-09-17 17:22:28.356,2022-09-17 17:22:28.374,,image_type,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000018,
,2022-10-03 02:32:57.939,2022-09-17 17:22:29.105,,activity_type,,180002.0,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000b,
,2022-09-16 02:24:11.452,2022-09-16 02:24:11.457,,phone_number,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000021,
117.93401,2023-04-09 01:45:40.399,2022-09-17 17:22:29.123,,weight,,,oL6fnwM6i7,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000006,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,temperature_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000d,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_glucose_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000e,
,2022-09-16 02:24:11.538,2022-09-16 02:24:11.539,,birth_date,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000a,
,2022-09-21 16:30:38.225,2022-09-17 17:22:28.405,,gender_extended,,,oL6fnwM6i7,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000022,
,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,hba1c_unit,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000012,
,2022-09-16 04:20:42.293,2022-09-16 04:20:42.296,,country,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000001,
193.04,2022-09-21 16:30:38.224,2022-09-17 17:22:29.096,,height,,,oL6fnwM6i7,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000008,
,2022-09-21 02:02:46.323,2022-09-16 02:26:48.990,,dashboard_config,00000000-0000-0000-0000-000000000016.dashboard_config.json,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000016,
,2022-09-21 16:30:38.225,2022-09-17 17:22:29.087,,gender,,,oL6fnwM6i7,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000005,
,2022-09-17 17:22:28.362,2022-09-17 17:22:28.389,,image,00000000-0000-0000-0000-000000000002.image.jpg,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000002,
,2022-09-18 05:53:10.010,2022-09-18 05:53:10.040,,social_id,,,+OWbbAvnWG,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000015,
